Rank,English Title,Japanese Title,Link
169,Noragami,ノラガミ,https://myanimelist.net/manga/24692/Noragami
170,Boku dake ga Inai Machi,僕だけがいない街,https://myanimelist.net/manga/39325/Boku_dake_ga_Inai_Machi
171,Ballroom e Youkoso,ボールルームへようこそ,https://myanimelist.net/manga/48347/Ballroom_e_Youkoso
172,Versailles no Bara,ベルサイユのばら,https://myanimelist.net/manga/660/Versailles_no_Bara
173,Konjiki no Gash!!,金色のガッシュ!!,https://myanimelist.net/manga/869/Konjiki_no_Gash
174,Shadows House,シャドーハウス,https://myanimelist.net/manga/115730/Shadows_House
175,Kieta Hatsukoi,消えた初恋,https://myanimelist.net/manga/122906/Kieta_Hatsukoi
176,Wotaku ni Koi wa Muzukashii,ヲタクに恋は難しい,https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii
177,Mairimashita! Iruma-kun,魔入りました!入間くん,https://myanimelist.net/manga/104241/Mairimashita_Iruma-kun
178,Gochuumon wa Usagi desu ka?,ご注文はうさぎですか?,https://myanimelist.net/manga/49835/Gochuumon_wa_Usagi_desu_ka
179,Kanata kara,彼方から,https://myanimelist.net/manga/923/Kanata_kara
180,Homunculus,ホムンクルス,https://myanimelist.net/manga/936/Homunculus
181,Hadashi no Gen,はだしのゲン,https://myanimelist.net/manga/3281/Hadashi_no_Gen
182,Ten: Tenhou-doori no Kaidanji,天 天和通りの快男児,https://myanimelist.net/manga/3571/Ten__Tenhou-doori_no_Kaidanji
183,Youjo Senki,幼女戦記,https://myanimelist.net/manga/98436/Youjo_Senki
184,Blue Giant Supreme,BLUE GIANT SUPREME,https://myanimelist.net/manga/100922/Blue_Giant_Supreme
185,Houkago Kitaku Biyori,放課後帰宅びより,https://myanimelist.net/manga/165876/Houkago_Kitaku_Biyori
186,Mahoutsukai no Yome,魔法使いの嫁,https://myanimelist.net/manga/61189/Mahoutsukai_no_Yome
187,Gin no Saji,銀の匙 Silver Spoon,https://myanimelist.net/manga/25096/Gin_no_Saji
188,JoJo no Kimyou na Bouken Part 9: The JoJoLands,ジョジョの奇妙な冒険 Part9 The JOJOLands,https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands
189,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,悪役令嬢の中の人～断罪された転生者のため嘘つきヒロインに復讐いたします～,https://myanimelist.net/manga/148542/Akuyaku_Reijou_no_Naka_no_Hito__Danzai_sareta_Tenseisha_no_Tame_Usotsuki_Heroine_ni_Fukushuu_Itashimasu
190,Totsukuni no Shoujo,とつくにの少女,https://myanimelist.net/manga/93972/Totsukuni_no_Shoujo
191,LovelyâComplex,ラブ★コン,https://myanimelist.net/manga/31/LovelyâComplex
192,Gakuen Alice,学園アリス,https://myanimelist.net/manga/320/Gakuen_Alice
193,Full Metal Panic! Sigma,フルメタル・パニック! Σ,https://myanimelist.net/manga/895/Full_Metal_Panic_Sigma
194,Piano no Mori,ピアノの森,https://myanimelist.net/manga/2895/Piano_no_Mori
195,Machida-kun no Sekai,町田くんの世界,https://myanimelist.net/manga/58141/Machida-kun_no_Sekai
196,Mushishi Tokubetsu-hen: Hihamukage,蟲師 特別篇「日蝕む翳」,https://myanimelist.net/manga/62023/Mushishi_Tokubetsu-hen__Hihamukage
197,Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,https://myanimelist.net/manga/81117/Tokyo_Ghoul_re
198,Bocchi the Rock!,ぼっち・ざ・ろっく!,https://myanimelist.net/manga/118568/Bocchi_the_Rock
199,Teito Seihai Kitan: Fate/type Redline,帝都聖杯奇譚 Fate/type Redline,https://myanimelist.net/manga/123444/Teito_Seihai_Kitan__Fate_type_Redline
200,Ao no Hako,アオのハコ,https://myanimelist.net/manga/135545/Ao_no_Hako
201,Sensou Kyoushitsu,戦奏教室,https://myanimelist.net/manga/147585/Sensou_Kyoushitsu
202,"Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou",追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双,https://myanimelist.net/manga/156681/Tsuihou_sareru_Tabi_ni_Skill_wo_Te_ni_Ireta_Ore_ga_100_no_Isekai_de_2-shuume_Musou
203,Mars,MARS,https://myanimelist.net/manga/443/Mars
204,Shin Angyo Onshi,新暗行御史,https://myanimelist.net/manga/736/Shin_Angyo_Onshi
205,Touch,タッチ,https://myanimelist.net/manga/1013/Touch
206,Saikyou Densetsu Kurosawa,最強伝説黒沢,https://myanimelist.net/manga/3575/Saikyou_Densetsu_Kurosawa
207,Hoshi no Samidare,惑星のさみだれ,https://myanimelist.net/manga/10552/Hoshi_no_Samidare
208,Daichouhen Doraemon,大長編ドラえもん,https://myanimelist.net/manga/12471/Daichouhen_Doraemon
209,Saiki Kusuo no Î¨-nan,斉木楠雄のΨ難,https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Î¨-nan
210,Ookami Kodomo no Ame to Yuki,おおかみこどもの雨と雪,https://myanimelist.net/manga/40761/Ookami_Kodomo_no_Ame_to_Yuki
211,Canis Series,CANISシリーズ,https://myanimelist.net/manga/57791/Canis_Series
212,Black Jack,ブラック・ジャック,https://myanimelist.net/manga/1600/Black_Jack
213,Kimi ni Todoke,君に届け,https://myanimelist.net/manga/3378/Kimi_ni_Todoke
214,Takemitsuzamurai,竹光侍,https://myanimelist.net/manga/15306/Takemitsuzamurai
215,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,うみねこのなく頃に - Episode 4: Alliance of the Golden Witch,https://myanimelist.net/manga/16144/Umineko_no_Naku_Koro_ni_-_Episode_4__Alliance_of_the_Golden_Witch
216,Tsubasa: RESERVoir CHRoNiCLE,ツバサ -RESERVoir CHRoNiCLE-,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE
217,Kodomo no Omocha,こどものおもちゃ,https://myanimelist.net/manga/18/Kodomo_no_Omocha
218,Paradise Kiss,パラダイス・キス,https://myanimelist.net/manga/29/Paradise_Kiss
219,Blame!,BLAME!,https://myanimelist.net/manga/149/Blame
220,Black Lagoon,ブラックラグーン,https://myanimelist.net/manga/735/Black_Lagoon
221,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,ひぐらしのなく頃に解 皆殺し編,https://myanimelist.net/manga/9548/Higurashi_no_Naku_Koro_ni_Kai__Minagoroshi-hen
222,Doukyuusei,同級生,https://myanimelist.net/manga/9699/Doukyuusei
223,Love So Life,LOVE SO LIFE,https://myanimelist.net/manga/14236/Love_So_Life
224,Gakuen Babysitters,学園ベビーシッターズ,https://myanimelist.net/manga/16922/Gakuen_Babysitters
225,Ojisama to Neko,おじさまと猫,https://myanimelist.net/manga/112774/Ojisama_to_Neko
226,Harukaze no Ãtranger,春風のエトランゼ,https://myanimelist.net/manga/77609/Harukaze_no_Ãtranger
227,Chichi to Hige-Gorilla to Watashi,父とヒゲゴリラと私,https://myanimelist.net/manga/84983/Chichi_to_Hige-Gorilla_to_Watashi
228,D.Gray-man,D.Gray-man,https://myanimelist.net/manga/24/DGray-man
229,Sora wa Akai Kawa no Hotori,天は赤い河のほとり,https://myanimelist.net/manga/79/Sora_wa_Akai_Kawa_no_Hotori
230,Hellsing,ヘルシング,https://myanimelist.net/manga/267/Hellsing
231,Claymore,CLAYMORE,https://myanimelist.net/manga/583/Claymore
232,Tokyo Crazy Paradise,東京クレイジーパラダイス,https://myanimelist.net/manga/762/Tokyo_Crazy_Paradise
233,Angel Densetsu,エンジェル伝説,https://myanimelist.net/manga/838/Angel_Densetsu
234,Meitantei Conan,名探偵コナン,https://myanimelist.net/manga/1061/Meitantei_Conan
235,Buddha,ブッダ,https://myanimelist.net/manga/1111/Buddha
236,Higurashi no Naku Koro ni Kai: Meakashi-hen,ひぐらしのなく頃に解 目明し編,https://myanimelist.net/manga/1262/Higurashi_no_Naku_Koro_ni_Kai__Meakashi-hen
237,Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,ひぐらしのなく頃に解 罪滅し編,https://myanimelist.net/manga/1263/Higurashi_no_Naku_Koro_ni_Kai__Tsumihoroboshi-hen
238,Komatta Toki ni wa Hoshi ni Kike,困った時には星に聞け!,https://myanimelist.net/manga/2459/Komatta_Toki_ni_wa_Hoshi_ni_Kike
239,Hana to Akuma,花と悪魔,https://myanimelist.net/manga/6520/Hana_to_Akuma
240,Koko wa Ima kara Rinri desu.,ここは今から倫理です。,https://myanimelist.net/manga/106809/Koko_wa_Ima_kara_Rinri_desu
241,Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu
242,Orange,orange,https://myanimelist.net/manga/35573/Orange
243,Sakamichi no Apollon: Bonus Track,坂道のアポロン BONUS TRACK,https://myanimelist.net/manga/47022/Sakamichi_no_Apollon__Bonus_Track
244,Hanazakari no Kimitachi e,花ざかりの君たちへ,https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e
245,Trigun Maximum,トライガンマキシマム,https://myanimelist.net/manga/704/Trigun_Maximum
246,Saint Seiya: The Lost Canvas - Meiou Shinwa,聖闘士星矢 THE LOST CANVAS 冥王神話,https://myanimelist.net/manga/1047/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa
247,Bungou Stray Dogs Wan!,文豪ストレイドッグス わん!,https://myanimelist.net/manga/98379/Bungou_Stray_Dogs_Wan
248,Fumetsu no Anata e,不滅のあなたへ,https://myanimelist.net/manga/102343/Fumetsu_no_Anata_e
